region,coords
PCun_L_4_2,"-8, -47, 57 "
PCun_R_4_2,"7, -47, 58 "
PCun_L_4_3,"-12, -67, 25 "
PCun_R_4_3,"16, -64, 25 "
PCun_L_4_4,"-6, -55, 34 "
PCun_R_4_4,"6, -54, 35 "
PoG_L_4_1,"-50, -16, 43 "
PoG_R_4_1,"50, -14, 44 "
PoG_L_4_2,"-56, -14, 16 "
PoG_R_4_2,"56, -10, 15 "
PoG_L_4_3,"-46, -30, 50 "
PoG_R_4_3,"48, -24, 48 "
PoG_L_4_4,"-21, -35, 68 "
PoG_R_4_4,"20, -33, 69 "
INS_L_6_1,"-36, -20, 10 "
INS_R_6_1,"37, -18, 8 "
INS_L_6_2,"-32, 14, -13 "
INS_R_6_2,"33, 14, -13 "
INS_L_6_3,"-34, 18, 1 "
INS_R_6_3,"36, 18, 1 "
INS_L_6_4,"-38, -4, -9 "
INS_R_6_4,"39, -2, -9 "
INS_L_6_5,"-38, -8, 8 "
INS_R_6_5,"39, -7, 8 "
INS_L_6_6,"-38, 5, 5 "
INS_R_6_6,"38, 5, 5 "
CG_L_7_1,"-4, -39, 31 "
CG_R_7_1,"4, -37, 32 "
CG_L_7_2,"-3, 8, 25 "
CG_R_7_2,"5, 22, 12 "
CG_L_7_3,"-6, 34, 21 "
CG_R_7_3,"5, 28, 27 "
CG_L_7_4,"-8, -47, 10 "
CG_R_7_4,"9, -44, 11 "
CG_L_7_5,"-5, 7, 37 "
CG_R_7_5,"4, 6, 38 "
CG_L_7_6,"-7, -23, 41 "
CG_R_7_6,"6, -20, 40 "
CG_L_7_7,"-4, 39, -2 "
CG_R_7_7,"5, 41, 6 "
MVOcC _L_5_1,"-11, -82, -11 "
MVOcC _R_5_1,"10, -85, -9 "
MVOcC _L_5_2,"-5, -81, 10 "
MVOcC _R_5_2,"7, -76, 11 "
MVOcC _L_5_3,"-6, -94, 1 "
MVOcC _R_5_3,"8, -90, 12 "
MVOcC _L_5_4,"-17, -60, -6 "
MVOcC _R_5_4,"18, -60, -7 "
MVOcC _L_5_5,"-13, -68, 12 "
MVOcC _R_5_5,"15, -63, 12 "
LOcC_L_4_1,"-31, -89, 11 "
ROcC_R_4_1,"34, -86, 11 "
LOcC _L_4_2,"-46, -74, 3 "
ROcC _R_4_2,"48, -70, -1 "
LOcC _L_4_3,"-18, -99, 2 "
ROcC _R_4_3,"22, -97, 4 "
LOcC_L_4_4,"-30, -88, -12 "
ROcC_R_4_4,"32, -85, -12 "
LOcC _L_2_1,"-11, -88, 31 "
ROcC _R_2_1,"16, -85, 34 "
LOcC _L_2_2,"-22, -77, 36 "
ROcC _R_2_2,"29, -75, 36 "
Amyg_L_2_1,"-19, -2, -20 "
Amyg_R_2_1,"19, -2, -19 "
Amyg_L_2_2,"-27, -4, -20 "
Amyg_R_2_2,"28, -3, -20 "
Hipp_L_2_1,"-22, -14, -19 "
Hipp_R_2_1,"22, -12, -20 "
Hipp_L_2_2,"-28, -30, -10 "
Hipp_R_2_2,"29, -27, -10 "
BG_L_6_1,"-12, 14, 0 "
BG_R_6_1,"15, 14, -2 "
BG_L_6_2,"-22, -2, 4 "
BG_R_6_2,"22, -2, 3 "
BG_L_6_3,"-17, 3, -9 "
BG_R_6_3,"15, 8, -9 "
BG_L_6_4,"-23, 7, -4 "
BG_R_6_4,"22, 8, -1 "
BG_L_6_5,"-14, 2, 16 "
BG_R_6_5,"14, 5, 14 "
BG_L_6_6,"-28, -5, 2 "
BG_R_6_6,"29, -3, 1 "
Tha_L_8_1,"-7, -12, 5 "
Tha_R_8_1,"7, -11, 6 "
Tha_L_8_3,"-18, -23, 4 "
Tha_R_8_3,"18, -22, 3 "
Tha_L_8_4,"-7, -14, 7 "
Tha_R_8_4,"3, -13, 5 "
Tha_L_8_5,"-16, -24, 6 "
Tha_R_8_5,"15, -25, 6 "
Tha_L_8_6,"-15, -28, 4 "
Tha_R_8_6,"13, -27, 8 "
Tha_L_8_7,"-12, -22, 13 "
Tha_R_8_7,"10, -14, 14 "
Tha_L_8_8,"-11, -14, 2 "
Tha_R_8_8,"13, -16, 7 "
